preset,compare_window_policy,status,n_points_used,n_excluded,chi2_total_planck,chi2_total_shoes,chi2_E_total,chi2_E_cc,chi2_E_bao,worst_point_z,worst_point_tracer,worst_point_resid_sigma_E
matter_only,full,VIABLE,9,1,239.76814377501498,327.94773274433487,36.1389202132101,8.99449011660251,27.144430096607593,1.53,BAO,4.56074471836846
matter_only,z_le_1_0,VIABLE,7,3,15.941927537732415,27.78132484119738,8.99449011660251,8.99449011660251,,0.88,CC,2.4322632125040378
vacuum_plus_matter,full,OUT_OF_DOMAIN_HIGH_Z,7,3,4.7944257584952155,10.483451466070312,3.0267472776482363,3.0267472776482363,,0.88,CC,1.4386130021925116
vacuum_plus_matter,z_le_1_0,OUT_OF_DOMAIN_HIGH_Z,7,3,4.7944257584952155,10.483451466070312,3.0267472776482363,3.0267472776482363,,0.88,CC,1.4386130021925116
