preset,z,E_lcdm
matter_only,1.945569225593255,2.9555735055238532
matter_only,1.8921260209206823,2.881861672763925
matter_only,1.8396524679204784,2.810309092858361
matter_only,1.7881309736288329,2.7408606281186154
matter_only,1.7375442642814827,2.6734626435517668
matter_only,1.6878753795222878,2.6080629610360213
matter_only,1.63910766671688,2.544610814361418
matter_only,1.5912247753694873,2.4830568051056656
matter_only,1.5442106516410519,2.423352859317931
matter_only,1.4980495329668146,2.3654521849865784
matter_only,1.4527259427715502,2.3093092302702583
matter_only,1.4082246852806937,2.254879642475415
matter_only,1.3645308404256045,2.2021202277671446
matter_only,1.3216297588412718,2.1509889116045238
matter_only,1.2795070569547797,2.101444699895842
matter_only,1.2381486121628833,2.0534476408737583
matter_only,1.1975405580970806,2.0069587876951247
matter_only,1.1576692799745953,1.961940161775106
matter_only,1.1185214100337082,1.9183547168701491
matter_only,1.0800838230519068,1.8761663039293746
matter_only,1.042343631945354,1.835339636738896
matter_only,1.0052881834481973,1.7958402583884159
matter_only,0.9689050538702704,1.7576345085940945
matter_only,0.9331820449317658,1.7206894919160356
matter_only,0.8981071796734819,1.6849730469127022
matter_only,0.8636686984412718,1.6504537162780426
matter_only,0.8298550549433488,1.6171007180099723
matter_only,0.7966549123791276,1.584883917661015
matter_only,0.7640571396383014,1.5537738017232343
matter_only,0.732050807568881,1.5237414522000114
matter_only,0.700625185312947,1.4947585224166295
matter_only,0.6697697367088806,1.4667972141199426
matter_only,0.6394741167588769,1.4398302559145921
matter_only,0.6097281681605435,1.413830883079212
matter_only,0.5805219179014334,1.3887728188008701
matter_only,0.5518455739153638,1.364630256859591
matter_only,0.5236895217993993,1.3413778457872712
matter_only,0.49604432159040446,1.318990674516711
matter_only,0.46890070460007793,1.2974442595269062
matter_only,0.44224957030741274,1.2767145334803738
matter_only,0.41608198330753665,1.2567778353372399
matter_only,0.3903891703159137,1.2376109019193102
matter_only,0.36516251722689796,1.219190860885587
matter_only,0.3403935662256574,1.2014952250689244
matter_only,0.3160740129524968,1.1845018881119447
matter_only,0.29219570371863113,1.1681891213292495
matter_only,0.26875063277247313,1.1525355717125578
matter_only,0.24573093961552184,1.137520260985936
matter_only,0.22312890636694993,1.1231225856099414
matter_only,0.20093695517600718,1.109322317626488
matter_only,0.17914764568137076,1.0960996062306796
matter_only,0.1577536725165951,1.083434979951886
matter_only,0.13674786286081786,1.0713093493240076
matter_only,0.11612317403390882,1.0597040099242414
matter_only,0.09587269113524877,1.0486006456607015
matter_only,0.07598962472535042,1.0379813321919105
matter_only,0.056467308549542405,1.0278285403653837
matter_only,0.037299197302955056,1.0181251395681596
matter_only,0.01847886443605673,1.0088544008890028
matter_only,4.440892098500626e-15,1.000000000000002
vacuum_plus_matter,1.945569225593255,2.9555735055238532
vacuum_plus_matter,1.8921260209206823,2.881861672763925
vacuum_plus_matter,1.8396524679204784,2.810309092858361
vacuum_plus_matter,1.7881309736288329,2.7408606281186154
vacuum_plus_matter,1.7375442642814827,2.6734626435517668
vacuum_plus_matter,1.6878753795222878,2.6080629610360213
vacuum_plus_matter,1.63910766671688,2.544610814361418
vacuum_plus_matter,1.5912247753694873,2.4830568051056656
vacuum_plus_matter,1.5442106516410519,2.423352859317931
vacuum_plus_matter,1.4980495329668146,2.3654521849865784
vacuum_plus_matter,1.4527259427715502,2.3093092302702583
vacuum_plus_matter,1.4082246852806937,2.254879642475415
vacuum_plus_matter,1.3645308404256045,2.2021202277671446
vacuum_plus_matter,1.3216297588412718,2.1509889116045238
vacuum_plus_matter,1.2795070569547797,2.101444699895842
vacuum_plus_matter,1.2381486121628833,2.0534476408737583
vacuum_plus_matter,1.1975405580970806,2.0069587876951247
vacuum_plus_matter,1.1576692799745953,1.961940161775106
vacuum_plus_matter,1.1185214100337082,1.9183547168701491
vacuum_plus_matter,1.0800838230519068,1.8761663039293746
vacuum_plus_matter,1.042343631945354,1.835339636738896
vacuum_plus_matter,1.0052881834481973,1.7958402583884159
vacuum_plus_matter,0.9689050538702704,1.7576345085940945
vacuum_plus_matter,0.9331820449317658,1.7206894919160356
vacuum_plus_matter,0.8981071796734819,1.6849730469127022
vacuum_plus_matter,0.8636686984412718,1.6504537162780426
vacuum_plus_matter,0.8298550549433488,1.6171007180099723
vacuum_plus_matter,0.7966549123791276,1.584883917661015
vacuum_plus_matter,0.7640571396383014,1.5537738017232343
vacuum_plus_matter,0.732050807568881,1.5237414522000114
vacuum_plus_matter,0.700625185312947,1.4947585224166295
vacuum_plus_matter,0.6697697367088806,1.4667972141199426
vacuum_plus_matter,0.6394741167588769,1.4398302559145921
vacuum_plus_matter,0.6097281681605435,1.413830883079212
vacuum_plus_matter,0.5805219179014334,1.3887728188008701
vacuum_plus_matter,0.5518455739153638,1.364630256859591
vacuum_plus_matter,0.5236895217993993,1.3413778457872712
vacuum_plus_matter,0.49604432159040446,1.318990674516711
vacuum_plus_matter,0.46890070460007793,1.2974442595269062
vacuum_plus_matter,0.44224957030741274,1.2767145334803738
vacuum_plus_matter,0.41608198330753665,1.2567778353372399
vacuum_plus_matter,0.3903891703159137,1.2376109019193102
