preset,z,E_lcdm
matter_only,1.9590836273794663,2.9743454552711617
matter_only,1.9187253046084067,2.9184441764612337
matter_only,1.8789174205616268,2.8637732777651634
matter_only,1.839652467920478,2.8103090928583607
matter_only,1.8009230417570605,2.75802844191744
matter_only,1.762721838137737,2.7069086205605926
matter_only,1.725041652745693,2.656927388947737
matter_only,1.6878753795222874,2.608062961036021
matter_only,1.651216009326923,2.5602939939865106
matter_only,1.615056628615208,2.5135995777182134
matter_only,1.5793904181351355,2.467959224605819
matter_only,1.5442106516410514,2.42335285931793
matter_only,1.5095106946251589,2.379760808792829
matter_only,1.4752840030663266,2.337163792349219
matter_only,1.4415241221959567,2.2955429119297355
matter_only,1.4082246852806928,2.2548796424754136
matter_only,1.3753794124217218,2.2151558224297085
matter_only,1.3429821093704577,2.1763536443710896
matter_only,1.3110266663603753,2.1384556457736776
matter_only,1.2795070569547784,2.1014446998958407
matter_only,1.2484173369102791,2.0653040067971418
matter_only,1.2177516430557827,2.0300170844845136
matter_only,1.1875041921867586,1.9955677601890263
matter_only,1.157669279974594,1.9619401617751044
matter_only,1.1282412798908208,1.9291187092845574
matter_only,1.0992146421460158,1.8970881066182845
matter_only,1.0705838926431737,1.8658333333590116
matter_only,1.0423436319453523,1.8353396367388943
matter_only,1.014488534257402,1.8055925237563109
matter_only,0.9870133464215791,1.776577753446602
matter_only,0.9599128869268594,1.748281329311956
matter_only,0.9331820449317643,1.720689491916034
matter_only,0.9068157793005129,1.6937887116492893
matter_only,0.8808091176523218,1.6675656816712556
matter_only,0.8551571554236685,1.6420073110363518
matter_only,0.8298550549433468,1.6171007180099704
matter_only,0.804898044520137,1.592833223581768
matter_only,0.7802814175429174,1.569192345183167
matter_only,0.7560005315930511,1.5461657906161073
matter_only,0.7320508075688787,1.5237414522000094
matter_only,0.7084277288221505,1.5019074011437872
matter_only,0.6851268403062374,1.4806518821495198
matter_only,0.6621437477359597,1.4599633082540764
matter_only,0.6394741167588744,1.43983025591459
matter_only,0.6171136721378656,1.4202414603431877
matter_only,0.5950581969448812,1.401185811095795
matter_only,0.5733035317656698,1.3826523479191748
matter_only,0.5518455739153612,1.3646302568595887
matter_only,0.5306802766647454,1.3471088666356532
matter_only,0.5098036484771065,1.3300776452770293
matter_only,0.4892117522554629,1.3135261970296215
matter_only,0.46890070460007527,1.2974442595269042
matter_only,0.44886667507608147,1.2818217012259139
matter_only,0.42910588549111917,1.2666485191053007
matter_only,0.40961460918280146,1.2519148366216757
matter_only,0.3903891703159106,1.2376109019193078
matter_only,0.3714259431891769,1.2237270862870404
matter_only,0.35272135155151174,1.2102538828551201
matter_only,0.3342718679275669,1.1971819055234856
matter_only,0.3160740129524937,1.1845018881119427
matter_only,0.2981243547157717,1.1722046837215891
matter_only,0.2804195081139915,1.1602812642958589
matter_only,0.26295613421246045,1.14872272036862
matter_only,0.24573093961551828,1.1375202609859336
matter_only,0.22874067584543956,1.126665213787333
matter_only,0.21198213872980665,1.1161490252318549
matter_only,0.19545216779723984,1.1059632609535357
matter_only,0.17914764568136743,1.0960996062306776
matter_only,0.16306549753292598,1.0865498665529285
matter_only,0.147202690439878,1.077305968270059
matter_only,0.13155623285543894,1.0683599593063033
matter_only,0.11612317403390549,1.0597040099242396
matter_only,0.10090060347417729,1.0513304135224018
matter_only,0.0858856503708707,1.0432315874511797
matter_only,0.07107548307291545,1.0354000738320015
