preset,anchor,z,H_code,H_phys
matter_only,Planck_67p4,1.945569225593255,2.0948372108397386,413.367930715359
matter_only,Planck_67p4,1.8921260209206823,2.0349798383573825,401.55645530664634
matter_only,Planck_67p4,1.8396524679204784,1.9767676471353923,390.0696185713971
matter_only,Planck_67p4,1.7881309736288329,1.9201557859335525,378.8985701491816
matter_only,Planck_67p4,1.7375442642814827,1.8651006197454727,368.0346996753351
matter_only,Planck_67p4,1.6878753795222878,1.8115596967923302,357.46963026793276
matter_only,Planck_67p4,1.63910766671688,1.7594917164092998,347.195212190915
matter_only,Planck_67p4,1.5912247753694873,1.7088564978003862,337.2035166885728
matter_only,Planck_67p4,1.5442106516410519,1.6596149496380304,327.48682998672916
matter_only,Planck_67p4,1.4980495329668146,1.6117290404844997,318.037647456081
matter_only,Planck_67p4,1.4527259427715502,1.565161770012675,308.84866793328354
matter_only,Planck_67p4,1.4082246852806937,1.5198771410044591,299.91278819548035
matter_only,Planck_67p4,1.3645308404256045,1.4758401321056027,291.2230975840952
matter_only,Planck_67p4,1.3216297588412718,1.4330166713163213,282.7728727738154
matter_only,Planck_67p4,1.2795070569547797,1.3913736101976049,274.5555726827994
matter_only,Planck_67p4,1.2381486121628833,1.3508786987736836,266.56483352025697
matter_only,Planck_67p4,1.1975405580970806,1.3115005611116037,258.7944639676399
matter_only,Planck_67p4,1.1576692799745953,1.2732086715593922,251.23844048978995
matter_only,Planck_67p4,1.1185214100337082,1.2359733316247608,243.8909027724837
matter_only,Planck_67p4,1.0800838230519068,1.199765647476788,236.74614928290674
matter_only,Planck_67p4,1.042343631945354,1.1645575080534654,229.79863294968172
matter_only,Planck_67p4,1.0052881834481973,1.1303215637584514,223.0429569591625
matter_only,Planck_67p4,0.9689050538702704,1.0970312057307978,216.47387066479203
matter_only,Planck_67p4,0.9331820449317658,1.0646605456718425,210.0862656064034
matter_only,Planck_67p4,0.8981071796734819,1.0331843962138614,203.875171636425
matter_only,Planck_67p4,0.8636686984412718,1.0025782518154682,197.8357531500273
matter_only,Planck_67p4,0.8298550549433488,0.9728182701691289,191.96330541632346
matter_only,Planck_67p4,0.7966549123791276,0.9438812541065266,186.25325100780927
matter_only,Planck_67p4,0.7640571396383014,0.9157446339878641,180.70113632529734
matter_only,Planck_67p4,0.732050807568881,0.8883864505615362,175.30262821566765
matter_only,Planck_67p4,0.700625185312947,0.8617853382809283,170.05351067982153
matter_only,Planck_67p4,0.6697697367088806,0.8359205090654186,164.94968166828914
matter_only,Planck_67p4,0.6394741167588769,0.8107717364929605,159.98714996199922
matter_only,Planck_67p4,0.6097281681605435,0.7863193404119148,155.16203213577805
matter_only,Planck_67p4,0.5805219179014334,0.7625441719600748,150.470549602199
matter_only,Planck_67p4,0.5518455739153638,0.7394275989790973,145.9090257334556
matter_only,Planck_67p4,0.5236895217993993,0.7169514918127928,141.47388305898136
matter_only,Planck_67p4,0.49604432159040446,0.695098209477973,137.1616405365842
matter_only,Planck_67p4,0.46890070460007793,0.6738505861967683,132.96891089490944
matter_only,Planck_67p4,0.44224957030741274,0.6531919182795369,128.8923980450835
matter_only,Planck_67p4,0.41608198330753665,0.6331059513476719,124.92889455942894
matter_only,Planck_67p4,0.3903891703159137,0.6135768678857902,121.07527921517529
matter_only,Planck_67p4,0.36516251722689796,0.5945892751129355,117.32851460111986
matter_only,Planck_67p4,0.3403935662256574,0.5761281931625649,113.68564478522029
matter_only,Planck_67p4,0.3160740129524968,0.5581790435612018,110.14379304112146
matter_only,Planck_67p4,0.29219570371863113,0.5407276379957234,106.70015963163826
matter_only,Planck_67p4,0.26875063277247313,0.5237601673593236,103.35201964722837
matter_only,Planck_67p4,0.24573093961552184,0.5072631910662221,100.09672089749587
matter_only,Planck_67p4,0.22312890636694993,0.4912236266252021,96.93168185376881
matter_only,Planck_67p4,0.20093695517600718,0.4756287394620305,93.85438964078791
matter_only,Planck_67p4,0.17914764568137076,0.4604661329807482,90.86239807553092
matter_only,Planck_67p4,0.1577536725165951,0.44572373885371064,87.95332575117551
matter_only,Planck_67p4,0.13674786286081786,0.4313898075301037,85.12485416417314
