preset,anchor,z,H_code,H_phys
matter_only,Planck_67p4,1.9590836273794663,2.110063988076559,416.372584902936
matter_only,Planck_67p4,1.9187253046084067,2.064700025308146,407.42105047267336
matter_only,Planck_67p4,1.8789174205616268,2.0202743279111255,398.65466112816125
matter_only,Planck_67p4,1.839652467920478,1.9767676471353925,390.0696185713942
matter_only,Planck_67p4,1.8009230417570605,1.9341611270558556,381.66220201934607
matter_only,Planck_67p4,1.762721838137737,1.8924362965502357,373.42876662097297
matter_only,Planck_67p4,1.725041652745693,1.8515750614401796,365.36574190644313
matter_only,Planck_67p4,1.6878753795222874,1.8115596967923306,357.46963026793014
matter_only,Planck_67p4,1.651216009326923,1.7723728393760947,349.7370054713266
matter_only,Planck_67p4,1.615056628615208,1.733997480274886,342.16451119824353
matter_only,Planck_67p4,1.5793904181351355,1.6964169576477148,334.748859617676
matter_only,Planck_67p4,1.5442106516410514,1.659614949638031,327.48682998672683
matter_only,Planck_67p4,1.5095106946251589,1.6235754674268155,320.37526727979406
matter_only,Planck_67p4,1.4752840030663266,1.588282848426952,313.41108084563626
matter_only,Planck_67p4,1.4415241221959567,1.5537217496159912,306.5912430917476
matter_only,Planck_67p4,1.4082246852806928,1.51987714100446,299.91278819547824
matter_only,Planck_67p4,1.3753794124217218,1.4867342992369421,293.3728108413556
matter_only,Planck_67p4,1.3429821093704577,1.4542788013231964,286.96846498406404
matter_only,Planck_67p4,1.3110266663603753,1.4224965184966434,280.69696263655896
matter_only,Planck_67p4,1.2795070569547784,1.3913736101976064,274.55557268279756
matter_only,Planck_67p4,1.2484173369102791,1.3608965181787325,268.5416197145795
matter_only,Planck_67p4,1.2177516430557827,1.3310519607300868,262.6524828920018
matter_only,Planck_67p4,1.1875041921867586,1.3018269270214478,256.8855948270414
matter_only,Planck_67p4,1.157669279974594,1.2732086715593938,251.23844048978836
matter_only,Planck_67p4,1.1282412798908208,1.2451847087568078,245.7085561368627
matter_only,Planck_67p4,1.0992146421460158,1.2177428076124812,240.29352826155665
matter_only,Planck_67p4,1.0705838926431737,1.1908709864985412,234.9909925652531
matter_only,Planck_67p4,1.0423436319453523,1.1645575080534671,229.79863294968033
matter_only,Planck_67p4,1.014488534257402,1.138790874178513,224.71418052957063
matter_only,Planck_67p4,0.9870133464215791,1.113559821135388,219.7354126653006
