preset,z,H_code,E_grut,in_domain,status
matter_only,1.945569225593255,2.0948372108397386,6.133055351859926,True,VIABLE
matter_only,1.8921260209206823,2.0349798383573825,5.9578109095941585,True,VIABLE
matter_only,1.8396524679204784,1.9767676471353923,5.787383064857523,True,VIABLE
matter_only,1.7881309736288329,1.9201557859335525,5.621640506664415,True,VIABLE
matter_only,1.7375442642814827,1.8651006197454727,5.460455484797256,True,VIABLE
matter_only,1.6878753795222878,1.8115596967923302,5.303703713174076,True,VIABLE
matter_only,1.63910766671688,1.7594917164092998,5.1512642758295994,True,VIABLE
matter_only,1.5912247753694873,1.7088564978003862,5.003019535438765,True,VIABLE
matter_only,1.5442106516410519,1.6596149496380304,4.858855044313489,True,VIABLE
matter_only,1.4980495329668146,1.6117290404844997,4.718659457805356,True,VIABLE
matter_only,1.4527259427715502,1.565161770012675,4.582324450048716,True,VIABLE
matter_only,1.4082246852806937,1.5198771410044591,4.44974463198042,True,VIABLE
matter_only,1.3645308404256045,1.4758401321056027,4.320817471574113,True,VIABLE
matter_only,1.3216297588412718,1.4330166713163213,4.195443216228714,True,VIABLE
matter_only,1.2795070569547797,1.3913736101976049,4.073524817252216,True,VIABLE
matter_only,1.2381486121628833,1.3508786987736836,3.9549678563836346,True,VIABLE
matter_only,1.1975405580970806,1.3115005611116037,3.839680474297327,True,VIABLE
matter_only,1.1576692799745953,1.2732086715593922,3.727573301035459,True,VIABLE
matter_only,1.1185214100337082,1.2359733316247608,3.6185593883157816,True,VIABLE
matter_only,1.0800838230519068,1.199765647476788,3.5125541436633045,True,VIABLE
matter_only,1.042343631945354,1.1645575080534654,3.409475266315752,True,VIABLE
matter_only,1.0052881834481973,1.1303215637584514,3.3092426848540426,True,VIABLE
matter_only,0.9689050538702704,1.0970312057307978,3.2117784965102674,True,VIABLE
matter_only,0.9331820449317658,1.0646605456718425,3.117006908106875,True,VIABLE
matter_only,0.8981071796734819,1.0331843962138614,3.024854178581973,True,VIABLE
matter_only,0.8636686984412718,1.0025782518154682,2.935248563056785,True,VIABLE
matter_only,0.8298550549433488,0.9728182701691289,2.848120258402425,True,VIABLE
matter_only,0.7966549123791276,0.9438812541065266,2.7634013502642323,True,VIABLE
matter_only,0.7640571396383014,0.9157446339878641,2.681025761502928,True,VIABLE
matter_only,0.732050807568881,0.8883864505615362,2.600929202012873,True,VIABLE
matter_only,0.700625185312947,0.8617853382809283,2.5230491198786575,True,VIABLE
matter_only,0.6697697367088806,0.8359205090654186,2.447324653832183,True,VIABLE
matter_only,0.6394741167588769,0.8107717364929605,2.3736965869732822,True,VIABLE
matter_only,0.6097281681605435,0.7863193404119148,2.302107301717775,True,VIABLE
matter_only,0.5805219179014334,0.7625441719600748,2.2325007359376703,True,VIABLE
matter_only,0.5518455739153638,0.7394275989790973,2.164822340258985,True,VIABLE
matter_only,0.5236895217993993,0.7169514918127928,2.0990190364834027,True,VIABLE
matter_only,0.49604432159040446,0.695098209477973,2.0350391771006557,True,VIABLE
matter_only,0.46890070460007793,0.6738505861967683,1.9728325058591902,True,VIABLE
matter_only,0.44224957030741274,0.6531919182795369,1.9123501193632566,True,VIABLE
matter_only,0.41608198330753665,0.6331059513476719,1.8535444296651176,True,VIABLE
matter_only,0.3903891703159137,0.6135768678857902,1.7963691278215916,True,VIABLE
matter_only,0.36516251722689796,0.5945892751129355,1.7407791483845676,True,VIABLE
matter_only,0.3403935662256574,0.5761281931625649,1.686730634795553,True,VIABLE
matter_only,0.3160740129524968,0.5581790435612018,1.6341809056546208,True,VIABLE
matter_only,0.29219570371863113,0.5407276379957234,1.5830884218343955,True,VIABLE
matter_only,0.26875063277247313,0.5237601673593236,1.5334127544099163,True,VIABLE
matter_only,0.24573093961552184,0.5072631910662221,1.4851145533753096,True,VIABLE
matter_only,0.22312890636694993,0.4912236266252021,1.4381555171182314,True,VIABLE
matter_only,0.20093695517600718,0.4756287394620305,1.392498362622966,True,VIABLE
matter_only,0.17914764568137076,0.4604661329807482,1.3481067963728621,True,VIABLE
matter_only,0.1577536725165951,0.44572373885371064,1.3049454859224852,True,VIABLE
matter_only,0.13674786286081786,0.4313898075301037,1.2629800321093938,True,VIABLE
matter_only,0.11612317403390882,0.4174528989524422,1.222176941874833,True,VIABLE
matter_only,0.09587269113524877,0.4039018734702891,1.182503601661827,True,VIABLE
matter_only,0.07598962472535042,0.39072588294007904,1.143928251358131,True,VIABLE
matter_only,0.056467308549542405,0.3779143619994984,1.1064199587502312,True,VIABLE
matter_only,0.037299197302955056,0.3654570195043428,1.0699485944530314,True,VIABLE
matter_only,0.01847886443605673,0.3533438301151261,1.034484807277966,True,VIABLE
matter_only,4.440892098500626e-15,0.3415650260199352,1.0,True,VIABLE
vacuum_plus_matter,1.945569225593255,0.9854002485603003,4.056039801155966,False,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,1.8921260209206823,0.9630036948072189,3.9638525771686073,False,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,1.8396524679204784,0.9410984139871732,3.8736874985709364,False,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,1.7881309736288329,0.9196738138215559,3.785500966121245,False,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,1.7375442642814827,0.8987195277713285,3.699250309752217,False,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,1.6878753795222878,0.878225410259514,3.614893768906063,False,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,1.63910766671688,0.8581815319942256,3.532390473283483,False,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,1.5912247753694873,0.8385781753901218,3.4517004239977553,False,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,1.5442106516410519,0.8194058300862191,3.372784475125457,False,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,1.4980495329668146,0.8006551885580457,3.2956043156454937,False,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,1.4527259427715502,0.7823171418221477,3.2201224517582747,False,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,1.4082246852806937,0.7643827752310163,3.1463021895770646,False,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,1.3645308404256045,0.746843364356531,3.0741076181836853,False,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,1.3216297588412718,0.7296903709600651,3.0035035930409277,False,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,1.2795070569547797,0.7129154390474296,2.9344557197541703,False,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,1.2381486121628833,0.6965103910068757,2.8669303381748796,False,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,1.1975405580970806,0.680467223828409,2.8008945068387985,False,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,1.1576692799745953,0.6647781054027083,2.736315987731801,False,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,1.1185214100337082,0.6494353708979775,2.6731632313765252,False,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,1.0800838230519068,0.6344315192130882,2.6114053622330324,False,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,1.042343631945354,0.6197592095054143,2.5510121644069104,False,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,1.0052881834481973,0.6054112577917852,2.4919540676583356,False,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,0.9689050538702704,0.5913806336210216,2.434202133705788,True,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,0.9331820449317658,0.5776604568165464,2.3777280428181986,True,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,0.8981071796734819,0.564243994287601,2.3225040806894834,True,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,0.8636686984412718,0.551124656907617,2.2685031255895094,True,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,0.8298550549433488,0.5382959964583373,2.2156986357856794,True,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,0.7966549123791276,0.5257517026382961,2.1640646372294383,True,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,0.7640571396383014,0.513485600134309,2.113575711502132,True,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,0.732050807568881,0.5014916457546406,2.0642069840147377,True,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,0.700625185312947,0.48976392562255455,2.0159341124561427,True,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,0.6697697367088806,0.4782966524289727,1.968733275484717,True,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,0.6394741167588769,0.46708416274299536,1.9225811616580564,True,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,0.6097281681605435,0.45612091437906715,1.8774549585958802,True,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,0.5805219179014334,0.44540148381958955,1.8333323423711614,True,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,0.5518455739153638,0.43492056369181314,1.790191467124674,True,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,0.5236895217993993,0.4246729602978629,1.7480109548982457,True,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,0.49604432159040446,0.4146535911967745,1.7067698856820954,True,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,0.46890070460007793,0.4048574828374444,1.6664477876717374,True,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,0.44224957030741274,0.39527976824141536,1.6270246277300147,True,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,0.41608198330753665,0.385915684734447,1.5884808020499386,True,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,0.3903891703159137,0.37676057172583566,1.5507971270140721,True,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,0.36516251722689796,0.3678098685344765,1.5139548302463088,True,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,0.3403935662256574,0.35905911226067483,1.4779355418519615,True,OUT_OF_DOMAIN_HIGH_Z
vacuum_plus_matter,0.3160740129524968,0.35050393570273947,1.4427212858421825,True,OUT_OF_DOMAIN_HIGH_Z
