z,H_code,E_z
1.9890339683968157,1.0036784731866786,4.131275429204118
1.978108021410006,0.9990784844033772,4.112341257412298
1.9672220125165127,0.9944988429499425,4.0934908379636585
1.9563757957288725,0.9899394603632365,4.074723806732038
1.9455692255932555,0.9854002485603001,4.056039801156144
1.9348021571875145,0.9808811198367295,4.0374384602328695
1.9240744461192438,0.9763819868650622,4.018919424510645
1.9133859485238416,0.9719027626931666,4.0004823360828174
1.9027365210625797,0.9674433607426408,3.982126838581054
1.8921260209206836,0.9630036948072183,3.9638525771687796
1.8815543058054147,0.9585836790511781,3.9456591985346368
1.8710212339441634,0.9541832280077648,3.9275463508859776
1.8605266640825486,0.9498022565776121,3.9095136839423787
1.850070455482522,0.9454406800271759,3.8915608489291897
1.839652467920481,0.9410984139871722,3.8736874985711034
1.8292725616853889,0.9367753744510223,3.8558932870857565
1.8189305975769012,0.9324714777733047,3.838177870177357
1.8086264369034977,0.928186640668213,3.820540905030337
1.7983599414806233,0.9239207802080212,3.802982050303036
1.7881309736288364,0.9196738138215542,3.785500966121406
1.7779393961719596,0.9154456592926667,3.768097314072746
1.7677850724352426,0.9112362347587267,3.7507707571994664
1.7576678662435272,0.9070454587091066,3.733520959992874
1.7475876419194227,0.9028732499836803,3.7163475883869865
1.7375442642814871,0.8987195277713264,3.699250309752372
1.7275375986424115,0.8945842116084382,3.6822287928900157
1.7175675108072164,0.8904672213774402,3.665282708025215
1.7076338670714502,0.8863684773053102,3.6484117268014926
1.6977365342193975,0.8822878999621082,3.6316155222745454
1.6878753795222927,0.8782254102595115,3.614893768906213
1.6780502707365388,0.8741809294493557,3.5982461425584704
1.6682610761019347,0.8701543791221819,3.5816723204874523
1.6585076643399081,0.866145681205791,3.5651719813374996
1.6487899046517556,0.8621547579638031,3.5487448051352284
1.6391076667168867,0.8581815319942229,3.5323904732836278
1.629460820691079,0.854225926228012,3.5161086685561833
1.6198492372047344,0.8502878639276666,3.49989907509102
1.6102727873611462,0.8463672686858023,3.4837613783850787
1.6007313427347682,0.8424640644237432,3.46769526528831
1.5912247753694948,0.8385781753901185,3.4517004239978943
1.581752957776943,0.8347095261594639,3.4357765440524886
1.572315762934744,0.8308580416308304,3.4199233163264977
1.5629130642848406,0.8270236470263972,3.404140433024365
1.5535447357317866,0.8232062678900918,3.3884275876748946
1.5442106516410603,0.8194058300862158,3.3727844751255924
1.5349106868373754,0.8156222597980757,3.3572107915370304
1.525644716603006,0.8118554835266211,3.3417062343772446
1.5164126166761118,0.8081054280890865,3.3262705024161403
1.5072142632490713,0.8043720206176408,3.310903295719936
1.498049532966823,0.800655188558042,3.295604315645624
1.488918302925212,0.7969548596682964,3.280373264835454
1.4798204506693384,0.7932709620173257,3.2652098472114446
1.4707558541919177,0.789603423983638,3.250113767969913
1.4617243919316438,0.7859521742540048,3.23508473357603
1.4527259427715595,0.7823171418221438,3.220122451758401
1.4437603860374324,0.7786982559874079,3.2052266315036624
1.4348276014961336,0.775095446353479,3.1903969830511127
1.4259274693540296,0.7715086428270672,3.175633217887354
1.4170598702553736,0.7679377756166157,3.160935048740963
1.4082246852807039,0.7643827752310118,3.1463021895771854
1.3994217959452517,0.7608435724783036,3.1317343555926502
1.39065108419735,0.7573200984644193,3.117231263210104
1.381912432416852,0.7538122845918966,3.1027926300731763
1.3732057234135517,0.7503200625586134,3.088418175041156
1.3645308404256147,0.7468433643565261,3.074107618183801
1.3558876671180111,0.7433821222704126,3.0598606807761595
1.3472760875809549,0.7399362688766201,3.045677085293419
1.3386959863283514,0.7365057370418203,3.0315565554057815
1.330147248296246,0.7330904599217667,3.0174988159733482
1.3216297588412829,0.72969037096006,3.003503593041039
1.3131434037391672,0.7263054038869169,2.9895706138335236
1.304688069183134,0.7229354927179457,2.975699606750181
1.2962636417824194,0.7195805717529253,2.9618903013600746
1.287870008560743,0.7162405755745909,2.9481424283969546
1.2795070569547917,0.7129154390474243,2.934455719754278
1.271174674812709,0.7096050973164488,2.9208299084802483
1.2628727503925932,0.7063094858060306,2.9072647287728812
1.2546011723609967,0.7030285402186838,2.8937599159750875
1.2463598297914347,0.6997621965338812,2.880315206569777
1.2381486121628957,0.69651039100687,2.8669303381749827
1.2299674093583621,0.693273060167493,2.853605049539012
1.2218161116633306,0.6900501408190143,2.8403390805356095
1.2136946097643424,0.6868415700369492,2.8271321721591436
1.2056027947475179,0.6836472851679016,2.8139840665198186
1.1975405580970935,0.6804672238284029,2.800894506838897
1.1895077916939698,0.677301323903759,2.7878632374439545
1.181504387814258,0.6741495235469002,2.7748900037641424
1.1735302391278397,0.6710117611772366,2.7619745523254813
1.1655852386969219,0.6678879754795186,2.7491166307461654
1.1576692799746087,0.664778105402702,2.736315987731896
1.1497822568034683,0.6616820901588175,2.7235723730712253
1.1419240634141112,0.6585998692218462,2.7108855376309284
1.1340945944237713,0.6555313823265982,2.6982552333513876
1.1262937448348929,0.6524765694675976,2.6856812132420025
1.118521410033722,0.649435370897971,2.6731632313766167
1.1107774857889043,0.6464077271283417,2.6607010428889635
1.1030618682500877,0.643393578925728,2.6482944039681326
1.0953744539465267,0.6403928673124458,2.635943071854054
1.0877151397856992,0.637405533565017,2.623646804833002
1.0800838230519205,0.6344315192130815,2.6114053622331204
1.0724804014049676,0.6314707660383146,2.5992185044199636
1.0649047728787053,0.6285232160733484,2.5870859927920575
1.0573568358797205,0.6255888116006978,2.57500758977648
1.0498364891859593,0.6226674951516915,2.56298305882446
1.0423436319453683,0.6197592095054073,2.5510121644069943
1.0348781636745432,0.6168638976876123,2.5390946720104863
1.027439984257382,0.6139815029697062,2.527230348132397
1.0200289939437401,0.6111119688676714,2.515418960276921
1.012645093348095,0.6082552391410252,2.5036602769506766
1.005288183448212,0.6054112577917781,2.4919540676584164
0.9979581655838172,0.6025799690633957,2.480300102898755
0.990654941455273,0.5997613174397658,2.4686981541599153
0.983378413122262,0.5969552476441686,2.457147993915494
0.9761284830024712,0.5941617046382527,2.445649395620242
0.9689050538702852,0.5913806336210141,2.4342021337058655
0.9617080288554818,0.5886119800277807,2.4228059835768434
0.954537311441932,0.5858556895292008,2.411460721606266
0.947392805466307,0.583111708030235,2.400166125131684
0.9402744151167881,0.5803799816691539,2.3889219724509836
0.9331820449317811,0.5776604568165389,2.3777280428182728
0.9261155997986381,0.5749530800742872,2.366584116439787
0.9190749849523787,0.5722577982746228,2.355489974469818
