z,fsigma8_compare
1.9890339683968157,0.22758292140209382
1.978108021410006,0.2286916222573773
1.9672220125165127,0.22980513160615554
1.9563757957288725,0.23092348302607876
1.9455692255932555,0.2320467103233919
1.9348021571875145,0.23317484753524956
1.9240744461192438,0.23430792893205613
1.9133859485238416,0.23544598901983113
1.9027365210625797,0.23658906254259976
1.8921260209206836,0.23773718448481004
1.8815543058054147,0.2388903900737754
1.8710212339441634,0.24004871478214493
1.8605266640825486,0.24121219433039953
1.850070455482522,0.24238086468937634
1.839652467920481,0.24355476208282018
1.8292725616853889,0.24473392298996358
1.8189305975769012,0.24591838414813488
1.8086264369034977,0.24710818255539552
1.7983599414806233,0.2483033554732063
1.7881309736288364,0.24950394042912366
1.7779393961719596,0.25070997521952526
1.7677850724352426,0.2519214979123669
1.7576678662435272,0.2531385468499696
1.7475876419194227,0.2543611606518385
1.7375442642814871,0.255589378217513
1.7275375986424115,0.256823238729449
1.7175675108072164,0.2580627816559345
1.7076338670714502,0.25930804675403735
1.6977365342193975,0.26055907407258666
1.6878753795222927,0.2618159039551886
1.6780502707365388,0.263078577043276
1.6682610761019347,0.2643471342791932
1.6585076643399081,0.26562161690931657
1.6487899046517556,0.26690206648720954
1.6391076667168867,0.2681885248768159
1.629460820691079,0.2694810342556884
1.6198492372047344,0.2707796371182556
1.6102727873611462,0.27208437627912585
1.6007313427347682,0.2733952948764305
1.5912247753694948,0.27471243637520565
1.581752957776943,0.27603584457081315
1.572315762934744,0.277365563592402
1.5629130642848406,0.27870163790641045
1.5535447357317866,0.2800441123201091
1.5442106516410603,0.28139303198518534
1.5349106868373754,0.2827484424013711
1.525644716603006,0.2841103894201127
1.5164126166761118,0.28547891924828467
1.5072142632490713,0.28685407845194755
1.498049532966823,0.2882359139601509
1.488918302925212,0.2896244730687812
1.4798204506693384,0.291019803444456
1.4707558541919177,0.29242195312846503
1.4617243919316438,0.293830970540759
1.4527259427715595,0.29524690448398544
1.4437603860374324,0.29666980414757466
1.4348276014961336,0.29809971911187416
1.4259274693540296,0.29953669935233374
1.4170598702553736,0.30098079524374166
1.4082246852807039,0.3024320575645123
1.3994217959452517,0.3038905375010259
1.39065108419735,0.3053562866520221
1.381912432416852,0.3068293570330471
1.3732057234135517,0.30830980108095574
1.3645308404256147,0.3097976716584691
1.3558876671180111,0.31129302205878795
1.3472760875809549,0.31279590601026447
1.3386959863283514,0.3143063776811308
1.330147248296246,0.31582449168428767
1.3216297588412829,0.3173503030821516
1.3131434037391672,0.31888386739156394
1.304688069183134,0.32042524058876015
1.2962636417824194,0.32197447911440263
1.287870008560743,0.3235316398786766
1.2795070569547917,0.32509678026645034
1.271174674812709,0.3266699581424998
1.2628727503925932,0.32825123185680166
1.2546011723609967,0.32984066024989106
1.2463598297914347,0.33143830265828955
1.2381486121628957,0.3330442189200016
1.2299674093583621,0.3346584693800809
1.2218161116633306,0.33628111489626966
1.2136946097643424,0.3379122168447085
1.2056027947475179,0.3395518371257212
1.1975405580970935,0.34120003816967415
1.1895077916939698,0.34285688294291056
1.181504387814258,0.3445224349537632
1.1735302391278397,0.3461967582586441
1.1655852386969219,0.3478799174682142
1.1576692799746087,0.34957197775363325
1.1497822568034683,0.35127300485289265
1.1419240634141112,0.35298306507722954
1.1340945944237713,0.35470222531762685
1.1262937448348929,0.35643055305139865
1.118521410033722,0.358168116348862
1.1107774857889043,0.35991498388009774
1.1030618682500877,0.3616712249218011
1.0953744539465267,0.3634369093642231
1.0877151397856992,0.3652121077182049
1.0800838230519205,0.36699689112230555
1.0724804014049676,0.36879133135002645
1.0649047728787053,0.37059550081713144
1.0573568358797205,0.37240947258906715
1.0498364891859593,0.37423332038848106
1.0423436319453683,0.37606711860284425
1.0348781636745432,0.37791094229217487
1.027439984257382,0.37976486719686803
1.0200289939437401,0.3816289697456322
1.012645093348095,0.38350332706353324
1.005288183448212,0.38538801698014963
0.9979581655838172,0.3872831180378384
0.990654941455273,0.38918870950011586
0.983378413122262,0.3911048713601531
0.9761284830024712,0.39303168434938857
0.9689050538702852,0.39496922994626116
0.9617080288554818,0.39691759038506347
0.954537311441932,0.3988768486649185
0.947392805466307,0.40084708855888146
0.9402744151167881,0.4028283946231689
0.9331820449317811,0.40482085220651837
0.9261155997986381,0.4068245474596764
0.9190749849523787,0.40883956734502375
0.9120601059744229,0.41086599964633425
0.9050708687913218,0.4129039329786719
0.8981071796734978,0.41495345679843
0.8911689452339877,0.41701466141351046
0.8842560724271888,0.4190876379936496
0.8773684685476129,0.42117247858089224
0.8705060412286414,0.42326927610021414
0.863668698441288,0.4253781243702969
0.8568563484929639,0.4274991181144604
0.850068900026248,0.4296323529717495
0.8433062620176626,0.4317779255081835
0.8365683437764515,0.43393593322816754
0.8298550549433648,0.43610647458607
0.8231663054894462,0.43828964899796896
0.8165020057148271,0.4404855568535694
0.8098620662475213,0.4426942995282953
0.80324639804223,0.4449159793955597
0.7966549123791438,0.4471506998392135
0.7900875208627551,0.44939856526618
0.7835441354206729,0.45165968111927435
0.7770246683024407,0.4539341538902148
0.7705290320783598,0.4562220911328249
0.7640571396383176,0.4585236014764345
0.7576089041906187,0.4608387946394794
0.7511842392608212,0.4631677814433059
0.744783058690577,0.46551067382617983
0.7384052766364766,0.46786758485751073
0.7320508075688974,0.47023862875228517
0.7257195662708571,0.47262392088572314
0.7194114678368706,0.47502357780815313
