r_arcsec,kappa_obs,kappa_baseline,kappa_grut,kappa_ratio,gamma_t_obs,gamma_t_baseline,gamma_t_grut,gamma_t_ratio
1.6,0.9729351818329206,0.4690711702021108,0.6253886857107281,1.3332490364762006,,0.006724012327983886,0.008964239451554657,1.3331682058712815
4.800000000000001,0.8729561911114716,0.41908167484138004,0.5587440069690759,1.333258027043433,,0.030953229519935736,0.04126605700467675,1.3331745231333272
8.0,0.7012391291746901,0.33322314387299967,0.44427852321357514,1.3332763086314967,,0.07005382774313576,0.09339480376933093,1.3331863051335155
11.200000000000001,0.4960252600776028,0.23061620932447097,0.3074819269398167,1.333305789044506,,0.11095652690941948,0.147927659430044,1.3332037650277777
14.4,0.31328584643127017,0.1392465025013146,0.1856639661100922,1.3333474290195504,,0.13868303610854016,0.18489565848355063,1.3332247668622008
17.6,0.18002712589415354,0.07261714223277252,0.09682811744858631,1.3334057836950688,,0.14850144692951636,0.19798914294242756,1.333247231162668
20.800000000000004,0.09332335569652941,0.029265257133969925,0.03902561119840102,1.333513354068626,,0.14385327671907452,0.19179519901999367,1.3332695882523626
24.0,0.04287457552119831,0.004040867046317168,0.0053916211978218284,1.3342733467897028,,0.1298644092940981,0.1731469544276777,1.3332902784438774
27.200000000000003,0.017402824561981788,-0.008695008433281175,-0.011591152601813884,1.3330812374427807,,0.11199538211439221,0.1493242562868411,1.333307262029082
30.4,0.006282978963542785,-0.014254931232492407,-0.019005518112248737,1.333259193066322,,0.09426402602020327,0.12568404829012988,1.333319332904288
33.6,0.002040043534894922,-0.01637639894680873,-0.021834759994865033,1.333306550834851,,0.0790063438424292,0.10534126779987699,1.3333267010807428
36.800000000000004,0.0006025637025674637,-0.017095138862966125,-0.022793358367063365,1.3333239671098267,,0.0665708597044168,0.08876096091644876,1.333330548990337
40.0,0.00015835740573315216,-0.017317242011377455,-0.023089605169115627,1.3333303971813595,,0.05677202401112077,0.0756959745247402,1.3333323206851408
43.2,3.6394151987519396e-05,-0.017378223638245663,-0.023170950933762195,1.3333325324901453,,0.04847842738732723,0.06463788773101803,1.3333330145918687
46.400000000000006,7.639294506667174e-06,-0.017392601066982084,-0.023190131331464078,1.333333136438572,,0.04222010757248267,0.056293473010400635,1.3333332444441806
49.6,1.4629964350839049e-06,-0.01739568921601384,-0.023194251526883966,1.3333332895791319,,0.03676321865941169,0.04901762405029347,1.3333333107857395
52.800000000000004,2.4538497295391223e-07,-0.017396298021742716,-0.023195063878245763,1.3333333246680112,,0.03258892004504754,0.04345189322729652,1.3333333282365027
56.0,3.6282498645895425e-08,-0.01739640257297729,-0.02319520340051534,1.333333331601881,,0.028939076829712973,0.03858543573746006,1.333333332106944
59.2,4.770861371399658e-09,-0.017396418328793836,-0.02319522442898998,1.3333333327928887,,0.026162941379249943,0.03488392182647568,1.3333333328546315
62.400000000000006,5.623655877372101e-10,-0.017396420433040467,-0.023195227237771354,1.33333333297219,,0.02308680716263356,0.030782409541974656,1.3333333329780037
