# canon_hash: 0590b719443d6302cb1d02f70d5f4c299bc4ebb27be6256e4eb385eb0e8936e5
# repro_hash: 53a297fb7b7e5e9f21d6d10f22b2195cb3482fde5751d0c6660aa21ebeff14d8
# output_digest: d888aac58cdbd266fa9b30b135d8eab536c4055f004dd5ae5673b6008da91a25
# preset: matter_only
# alpha_mem: 0.3333333333333333
# idx0: 299
# H0_code: 0.34156502601993227
# anchor_name: Planck_67p4
# H0_km_s_Mpc: 67.4
# scale_H: 197.32699446830026
z,H_km_s_Mpc
1.9890339683968157,423.0569556415202
1.978108021410006,420.61441642972477
1.9672220125165127,418.18544900185833
1.9563757957288725,415.7699785597456
1.9455692255932555,413.36793071536266
1.9348021571875145,410.9792314885865
1.9240744461192438,408.6038073049574
1.9133859485238416,406.2415849934532
1.9027365210625797,403.8924917842758
1.8921260209206836,401.55645530664975
1.8815543058054147,399.2334035866334
1.8710212339441634,396.9232650449408
1.8605266640825486,394.62596849477717
1.850070455482522,392.34144313968454
1.839652467920481,390.0696185714005
1.8292725616853889,387.8104247677277
1.8189305975769012,385.56379209041614
1.8086264369034977,383.3296512830553
1.7983599414806233,381.10793346897975
1.7881309736288364,378.8985701491849
1.7779393961719596,376.70149320025433
1.7677850724352426,374.5166348722993
1.7576678662435272,372.3439277869082
1.7475876419194227,370.1833049351083
1.7375442642814871,368.0346996753383
1.7275375986424115,365.89804573143164
1.7175675108072164,363.7732771906114
1.7076338670714502,361.6603285014957
1.6977365342193975,359.5591344721143
1.6878753795222927,357.4696302679359
1.6780502707365388,355.3917514099061
1.6682610761019347,353.3254337724966
1.6585076643399081,351.27061358176434
1.6487899046517556,349.2272274134219
1.6391076667168867,347.195212190918
1.629460820691079,345.17450518352877
1.6198492372047344,343.16504400445916
1.6102727873611462,341.16676660895496
1.6007313427347682,339.1796112924256
1.5912247753694948,337.20351668857575
1.581752957776943,335.2384217675488
1.572315762934744,333.28426583407975
1.5629130642848406,331.3409885256577
1.5535447357317866,329.40852981069935
1.5442106516410603,327.486829986732
1.5349106868373754,325.5758296785862
1.525644716603006,323.67546983659884
1.5164126166761118,321.78569173482566
1.5072142632490713,319.90643696926384
1.498049532966823,318.0376474560838
1.488918302925212,316.1792654298712
1.4798204506693384,314.33123344187845
1.4707558541919177,312.49349435828526
1.4617243919316438,310.66599135846934
1.4527259427715595,308.8486679332862
1.4437603860374324,307.0414678833585
1.4348276014961336,305.24433531737435
1.4259274693540296,303.4572146503958
1.4170598702553736,301.68005060217547
1.4082246852807039,299.91278819548285
1.3994217959452517,298.1553727544402
1.39065108419735,296.40774990286667
1.381912432416852,294.66986556263225
1.3732057234135517,292.94166595202
1.3645308404256147,291.2230975840978
1.3558876671180111,289.5141072650987
1.3472760875809549,287.8146420928102
1.3386959863283514,286.12464945497203
1.330147248296246,284.4440770276833
1.3216297588412829,282.77287277381777
1.3131434037391672,281.11098494144784
1.304688069183134,279.45836206227744
1.2962636417824194,277.8149529500834
1.287870008560743,276.18070669916483
1.2795070569547917,274.55557268280165
1.271174674812709,272.93950055172115
1.2628727503925932,271.3324402325729
1.2546011723609967,269.73434192641207
1.2463598297914347,268.14515610719104
1.2381486121628957,266.5648335202592
1.2299674093583621,264.9933251808709
1.2218161116633306,263.4305823727016
1.2136946097643424,261.87655664637197
1.2056027947475179,260.3311998179801
1.1975405580970935,258.79446396764206
1.1895077916939698,257.2663014380396
1.181504387814258,255.74666483297662
1.1735302391278397,254.23550701594306
1.1655852386969219,252.73278110868648
1.1576692799746087,251.23844048979203
1.1497822568034683,249.75243879326925
1.1419240634141112,248.2747299071476
1.1340945944237713,246.80526797207858
1.1262937448348929,245.34400737994648
1.118521410033722,243.8909027724857
1.1107774857889043,242.44590903990667
1.1030618682500877,241.00898131952815
1.0953744539465267,239.58007499441763
1.0877151397856992,238.1591456920393
1.0800838230519205,236.74614928290873
1.0724804014049676,235.3410418792552
1.0649047728787053,233.94377983369156
1.0573568358797205,232.55431973789095
1.0498364891859593,231.17261842127064
1.0423436319453683,229.7986329496836
1.0348781636745432,228.43232062411656
1.027439984257382,227.0736389793954
1.0200289939437401,225.7225457828977
1.012645093348095,224.378999033272
1.005288183448212,223.04295695916431
0.9979581655838172,221.71437801795128
0.990654941455273,220.39322089448038
0.983378413122262,219.07944449981704
0.9761284830024712,217.77300796999842
0.9689050538702852,216.47387066479376
0.9617080288554818,215.18199216647196
0.954537311441932,213.89733227857545
0.947392805466307,212.61985102470086
0.9402744151167881,211.3495086472863
0.9331820449317811,210.08626560640502
0.9261155997986381,208.8300825785661
0.9190749849523787,207.58092045552098
0.9120601059744229,206.3387403430771
0.9050708687913218,205.10350355991739
0.8981071796734978,203.87517163642664
0.8911689452339877,202.65370631352397
0.8842560724271888,201.43906954150174
0.8773684685476129,200.23122347887045
0.8705060412286414,199.0301304912103
0.863668698441288,197.83575315002892
0.8568563484929639,196.64805423162474
0.850068900026248,195.46699671595735
0.8433062620176626,194.29254378552332
0.8365683437764515,193.12465882423822
0.8298550549433648,191.96330541632497
0.8231663054894462,190.80844734520792
0.8165020057148271,189.6600485924129
0.8098620662475213,188.51807333647338
0.80324639804223,187.38248595184248
0.7966549123791438,186.25325100781072
0.7900875208627551,185.1303332674297
0.7835441354206729,184.01369768644176
0.7770246683024407,182.90330941221498
0.7705290320783598,181.79913378268444
0.7640571396383176,180.70113632529876
0.7576089041906187,179.6092827559725
0.7511842392608212,178.52353897804423
0.744783058690577,177.4438710812403
0.7384052766364766,176.37024534064363
0.7320508075688974,175.302628215669
0.7257195662708571,174.24098634904286
0.7194114678368706,173.18528656578928
0.7131264276718119,172.13549587222133
0.7068643614897789,171.09158145493726
0.7006251853129637,170.05351067982284
0.6944088154705259,169.02125109105864
0.6882151685974713,167.99477041013265
0.6820441616335331,166.97403653485836
0.6758957118220585,165.95901753839783
0.669769736708898,164.9496816682904
0.6636661541413014,163.94599734548612
0.6575848822668142,162.94793316338473
0.6515258395321815,161.95545788687974
0.6454889446822529,160.96854045140725
0.6394741167588944,159.9871499620004
0.633481275099901,159.01125569234847
0.627510339337916,158.04082708386116
0.6215612293993531,157.07583374473782
0.6156338655033227,156.11624544904174
0.6097281681605613,155.16203213577916
0.6038440581723663,154.2131639079835
0.5979814566295338,153.2696110318041
0.5921402849113,152.33134393560007
0.5863204646842868,151.39833320903895
0.5805219179014514,150.47054960220004
0.5747445668010405,149.5479640246824
0.5689883339055464,148.63054754471798
0.5632531420206677,147.71827138828905
0.5575389142342759,146.81110693825048
0.5518455739153818,145.90902573345662
0.5461730447131092,145.01199946789282
0.5405212505556709,144.11999998981165
0.5348901156493475,143.23299930087347
0.5292795644774722,142.35096955529164
0.5236895217994177,141.47388305898232
0.5181199126495868,140.6017122687186
0.5125706623364072,139.73442979128927
0.5070416964413305,138.87200838266176
0.5015329408178333,138.0144209471498
0.4960443215904231,137.16164053658508
0.4905757651536482,136.31364034949365
0.48512719817110983,135.47039373027633
0.47969854757447883,134.63187416839355
0.4742897405625164,133.79805529755447
0.4689007046000968,132.96891089491027
0.46353136741723544,132.14441488025162
0.4581816570081194,131.32454131521052
0.4528515016301411,130.5092644024662
0.44754082980293797,129.6985584849549
0.44224957030743184,128.89239804508426
0.43697765218487516,128.09075770395137
0.4317250047358989,127.29361222056502
0.42649155751956447,126.50093649107212
0.42127724035241965,125.71270554798777
0.41608198330755597,124.92889455942966
0.4109057167136725,124.14947882835634
0.40574837115414053,123.37443379180917
0.40060987746607357,122.60373502015847
0.39549016673939863,121.83735821635346
0.3903891703159328,121.07527921517598
0.3853068197884628,120.317473982498
0.38024304699982725,119.56391861454308
0.375197784042002,118.81458933715156
0.37017096325519083,118.06946250504933
0.36516251722691706,117.3285146011205
0.3601723787911193,116.59172223568378
0.3552004810272522,115.85906214577233
0.35024675725938703,115.13051119441751
0.34531114105531935,114.40604636993604
0.3403935662256765,113.68564478522087
0.33549396682303145,112.96928367703565
0.33061227714101693,112.25694040531252
0.3257484317134458,111.54859245245375
0.32090236531343197,110.84421742263665
0.31607401295251614,110.143793041122
0.3112633098797939,109.44729715356591
0.30647019158104793,108.75470772533518
0.30169459377788277,108.06600284082592
0.29693645242686206,107.38116070278566
0.29219570371865067,106.70015963163877
0.28747228407715797,106.0229780648151
0.2827661301586868,105.3495945560821
0.2780771788510821,104.6799877748801
0.27340536727288556,104.01413650566074
0.26875063277249267,103.35201964722883
0.26411291292731165,102.69361621208724
0.2594921455429269,102.03890532578504
0.2548882686522649,101.38786622626874
0.250301220514763,100.74047826323662
0.24573093961554138,100.09672089749628
0.2411773646645785,99.45657370032518
0.23664043459588902,98.82001635283407
0.2321200885667043,98.18702864533378
0.22761626595665763,97.55759047670466
0.2231289063669697,96.93168185376918
0.21865794961964014,96.30928289066746
0.21420333575663997,95.69037380823565
0.2097650050391071,95.07493493338713
0.20534289794654548,94.46294669849686
0.20093695517602694,93.85438964078824
0.1965471176413962,93.24924440172296
0.1921733264724781,92.64749172639358
0.18781552301428794,92.04911246291888
0.1834736488262454,91.45408756184203
0.17914764568139052,90.86239807553123
0.17483745556560315,90.27402515758338
0.17054302067682414,89.68895006223002
0.16626428342428134,89.10715414374623
0.162001186427716,88.52861885586194
0.15775367251661487,87.9533257511758
0.1535216847294416,87.38125648057179
0.14930516631287438,86.81239279263811
0.14510406072104454,86.2467165330887
0.14091831161477741,85.68420964418719
0.13674786286083762,85.12485416417339
0.1325926585311763,84.56863222669186
0.1284526429021806,84.01552606022332
0.12432776045392657,83.46551798751807
0.12021795586943496,82.91859042503182
0.11612317403392858,82.37472588236395
0.11204336003409465,81.8339069616978
0.10797845915734627,81.29611635724333
0.10392841689109078,80.76133685468213
0.099893178921997,80.22955133061421
0.09587269113526853,79.70074275200734
0.0918668996139167,79.17489417564832
0.08787575063803765,78.65198874759635
0.0838991906840929,78.13200970263836
0.07993716642419035,77.61494036374667
0.07598962472536996,77.10076414153818
0.07205651264889124,76.58946453373605
0.06813777744952221,76.08102512463276
0.06423336657483336,75.57542958455551
0.060343227664492405,75.0726616693333
0.056467308549561945,74.57270521976571
0.05260555725180027,74.07554416109369
0.04875792198296325,73.58116250247204
0.04492435114411175,73.0895443364436
0.041104793324917344,72.60067383841503
0.03729919730297482,72.11453526613438
0.033507512043114085,71.63111295917035
0.029729686696716495,71.1503913383928
0.025965670601032054,70.67235490545515
0.022215413278501073,70.19698824227812
0.018478864436076492,69.72427601053495
0.014755973964549307,69.25420295113803
0.01104669193787755,68.786753883727
0.007350968612515718,68.32191370615809
0.0036687544267481886,67.85966739399483
2.4202861936828413e-14,67.4
