# canon_hash: 0590b719443d6302cb1d02f70d5f4c299bc4ebb27be6256e4eb385eb0e8936e5
# repro_hash: 53a297fb7b7e5e9f21d6d10f22b2195cb3482fde5751d0c6660aa21ebeff14d8
# output_digest: d888aac58cdbd266fa9b30b135d8eab536c4055f004dd5ae5673b6008da91a25
# preset: matter_only
# alpha_mem: 0.3333333333333333
# idx0: 299
# H0_code: 0.34156502601993227
z,H_code,E_z
1.9890339683968157,2.1439385765817383,6.276809430883088
1.978108021410006,2.131560446471477,6.240569976702147
1.9672220125165127,2.119251094502623,6.204531884300568
1.9563757957288725,2.1070101416181926,6.168694043913139
1.9455692255932555,2.0948372108397386,6.133055351859979
1.9348021571875145,2.0827319272559466,6.097614710513152
1.9240744461192438,2.070693918011293,6.062371028263462
1.9133859485238416,2.058722812294768,6.027323219487435
1.9027365210625797,2.046818241328656,5.992470204514477
1.8921260209206836,2.0349798383573825,5.957810909594209
1.8815543058054147,2.0232072386364175,5.923344266863996
1.8710212339441634,2.0115000794212414,5.8890692143166286
1.8605266640825486,1.9998579999563728,5.854984695768207
1.850070455482522,1.9882806414644527,5.821089660826179
1.839652467920481,1.9767676471353923,5.787383064857573
1.8292725616853889,1.965318662115577,5.753863868957383
1.8189305975769012,1.9539333334971325,5.7205310399171525
1.8086264369034977,1.9426113103072453,5.687383550193698
1.7983599414806233,1.931352243497547,5.654420377878037
1.7881309736288364,1.9201557859335527,5.6216405066644635
1.7779393961719596,1.9090215923841571,5.589042925819796
1.7677850724352426,1.8979493195111923,5.556626630152808
1.7576678662435272,1.8869386258590364,5.5243906199838
1.7475876419194227,1.8759891718442845,5.492333901114366
1.7375442642814871,1.8651006197454727,5.460455484797303
1.7275375986424115,1.8542726336928606,5.4287543877067
1.7175675108072164,1.8435048796582671,5.39722963190818
1.7076338670714502,1.8327970254449648,5.365880244829313
1.6977365342193975,1.8221487406776267,5.334705259230182
1.6878753795222927,1.8115596967923304,5.303703713174122
1.6780502707365388,1.8010295670266152,5.272874649998606
1.6682610761019347,1.790558026409594,5.242217118286298
1.6585076643399081,1.78014475175212,5.211730171836265
1.6487899046517556,1.7697894216370065,5.181412869635339
1.6391076667168867,1.7594917164092998,5.151264275829644
1.629460820691079,1.7492513181666058,5.121283459696272
1.6198492372047344,1.73906791074947,5.0914694956151205
1.6102727873611462,1.728941179731808,5.061821463040874
1.6007313427347682,1.7188708124113925,5.032338446475157
1.5912247753694948,1.7088564978003862,5.003019535438809
1.581752957776943,1.698897926615932,4.973863824444344
1.572315762934744,1.6889947912707932,4.944870412968542
1.5629130642848406,1.6791467858640405,4.916038405425187
1.5535447357317866,1.6693536061717975,4.887366911137972
1.5442106516410603,1.6596149496380304,4.858855044313531
1.5349106868373754,1.6499305153653905,4.830501924014632
1.525644716603006,1.6403000041061078,4.802306674133513
1.5164126166761118,1.630723118252932,4.774268423365365
1.5072142632490713,1.6211995618301247,4.7463863051819555
