# canon_hash: 0590b719443d6302cb1d02f70d5f4c299bc4ebb27be6256e4eb385eb0e8936e5
# repro_hash: 53a297fb7b7e5e9f21d6d10f22b2195cb3482fde5751d0c6660aa21ebeff14d8
# output_digest: d888aac58cdbd266fa9b30b135d8eab536c4055f004dd5ae5673b6008da91a25
# preset: matter_only
# alpha_mem: 0.3333333333333333
# idx0: 299
# H0_code: 0.34156502601993227
# anchor_name: SH0ES_73p0
# H0_km_s_Mpc: 73.0
# scale_H: 213.72211567041418
z,H_km_s_Mpc
1.9890339683968157,458.2070884544654
1.978108021410006,455.5616082992567
1.9672220125165127,452.9308275539414
1.9563757957288725,450.31466520565914
1.9455692255932555,447.7130406857784
1.9348021571875145,445.1258738674601
1.9240744461192438,442.55308506323274
1.9133859485238416,439.99459502258276
1.9027365210625797,437.4503249295568
1.8921260209206836,434.9201964003773
1.8815543058054147,432.4041314810717
1.8710212339441634,429.9020526451139
1.8605266640825486,427.41388279107906
1.850070455482522,424.9395452403111
1.839652467920481,422.4789637346028
1.8292725616853889,420.032062433889
1.8189305975769012,417.59876591395215
1.8086264369034977,415.17899916413995
1.7983599414806233,412.77268758509666
1.7881309736288364,410.3797569865058
1.7779393961719596,408.0001335848451
1.7677850724352426,405.6337440011549
1.7576678662435272,403.2805152588174
1.7475876419194227,400.9403747813487
1.7375442642814871,398.6132503902031
1.7275375986424115,396.2990703025891
1.7175675108072164,393.99776312929714
1.7076338670714502,391.7092578725398
1.6977365342193975,389.43348392380324
1.6878753795222927,387.1703710617109
1.6780502707365388,384.9198494498982
1.6682610761019347,382.6818496348998
1.6585076643399081,380.45630254404733
1.6487899046517556,378.2431394833797
1.6391076667168867,376.04229213556397
1.629460820691079,373.8536925578278
1.6198492372047344,371.67727317990375
1.6102727873611462,369.5129668019838
1.6007313427347682,367.3607065926864
1.5912247753694948,365.220426087033
1.581752957776943,363.09205918443706
1.572315762934744,360.9755401467035
1.5629130642848406,358.8708035960387
1.5535447357317866,356.77778451307194
1.5442106516410603,354.69641823488774
1.5349106868373754,352.6266404530681
1.525644716603006,350.5683872117464
1.5164126166761118,348.52159490567163
1.5072142632490713,346.4862002782827
1.498049532966823,344.46214041979397
1.488918302925212,342.4493527652907
1.4798204506693384,340.4477750928356
1.4707558541919177,338.4573455215849
1.4617243919316438,336.4780025099148
1.4527259427715595,334.5096848535592
1.4437603860374324,332.55233168375617
1.4348276014961336,330.6058824654054
1.4259274693540296,328.6702769952358
1.4170598702553736,326.7454553999823
1.4082246852807039,324.83135813457335
1.3994217959452517,322.9279259803283
1.39065108419735,321.0351000431641
1.381912432416852,319.15282175181227
1.3732057234135517,317.28103285604533
1.3645308404256147,315.41967542491295
1.3558876671180111,313.56869184498817
1.3472760875809549,311.72802481862226
1.3386959863283514,309.89761736221
1.330147248296246,308.0774128044641
1.3216297588412829,306.26735478469874
