omega,X,alpha_eff,t_dp_s,t_grut_s,enhancement
100.0,100.0,3.33300003333e-05,1.5801195939466586e-18,4.7408328177181606e-14,30003.000000000004
1000.0,1000.0,3.333330000003333e-07,1.5801195939466586e-18,4.740363522198758e-12,3000003.0
10000.0,10000.0,3.3333333000000003e-09,1.5801195939466586e-18,4.740358829243563e-10,300000003.0
100000.0,100000.0,3.333333333e-11,1.5801195939466586e-18,4.740358782314012e-08,30000000003.000004
1000000.0,1000000.0,3.33333333333e-13,1.5801195939466586e-18,4.740358781844716e-06,3000000000003.0
