r_arcsec,kappa_obs,kappa_baseline,kappa_grut,kappa_ratio,gamma_t_obs,gamma_t_baseline,gamma_t_grut,gamma_t_ratio
0.8,0.9816940417156732,0.4632353723588498,0.6095662809100113,1.315888892089624,0.0,0.0045498342047585625,0.00592177516023747,1.3015364722617864
2.4000000000000004,0.9042527229638295,0.4245147129829303,0.5591408515275212,1.3171294997024148,0.0,0.023514811534901415,0.030626580061047504,1.3024378279872915
4.0,0.7929333620178647,0.3688550325099452,0.4865779133926016,1.3191575836219132,0.0,0.049688460824080946,0.06477041433228017,1.3035303017655546
5.6000000000000005,0.6459631095250312,0.29536990626352905,0.3905938236769992,1.3223886909064844,0.0,0.08198850444090885,0.10703274848592796,1.3054604327252868
7.2,0.4929231052880192,0.21822059018517248,0.2895704551173433,1.3269621114654049,0.0,0.11176928284407543,0.1461620287190192,1.3077119670072825
8.8,0.3450246570493519,0.14456690409913453,0.19278166620862766,1.3335117564420595,0.0,0.13501408743605967,0.17696305063000506,1.3107006386560343
10.400000000000002,0.21684581087399166,0.08081125693800943,0.10861890954755961,1.3441061760848678,0.0,0.147557728334516,0.19392200913386895,1.3142111316205973
12.0,0.1353819177964578,0.04007931039924296,0.05455087013500321,1.3610730721562914,0.0,0.14797705052382415,0.19494424868891877,1.31739515011845
13.600000000000001,0.0772535746963777,0.011015138849202476,0.01572246518115047,1.4273506123155966,0.0,0.14122553661118833,0.18653354212911924,1.320820204370471
15.2,0.04117619516679101,-0.0070695753476422455,-0.008617231875075416,1.2189178912916354,0.0,0.12892584527555592,0.17069027155332941,1.3239414578861943
16.8,0.02070538484263732,-0.01728091170878969,-0.022485891378300902,1.301198209748608,0.0,0.11579901153479938,0.15363377167853046,1.326727833357724
18.400000000000002,0.00928801100311198,-0.022967642997430045,-0.030289235699206773,1.3187785835314478,0.0,0.10098064043104962,0.13420813156506123,1.3290481323170018
20.0,0.0040826206603640355,-0.02557033816880412,-0.033905475468785556,1.3259689897316385,0.0,0.08773256134955013,0.1167431181521589,1.330670350396165
21.6,0.001585679797434973,-0.02681880860026827,-0.03566491119410718,1.3298469639605999,0.0,0.07680602850245764,0.1022959280490568,1.3318736828813318
23.200000000000003,0.0006021971370162552,-0.027311188051312538,-0.0363705762198035,1.3317097795771493,0.0,0.06613014932747434,0.08812170032285703,1.3325495438771997
24.8,0.00021320927828711114,-0.027505269419527526,-0.03665429100632064,1.3326279574741307,0.0,0.05894377419734642,0.0785694638991658,1.3329561089202004
26.400000000000002,6.542998704452103e-05,-0.027578933505464615,-0.0367644362634626,1.3330622903230807,0.0,0.05217053387280795,0.06955229196077038,1.3331719420456623
28.0,2.0167078715975675e-05,-0.027601564959627567,-0.03679924767861086,1.333230479229588,0.0,0.045308096315083625,0.06040763919182985,1.3332636792272246
29.6,5.661567349813241e-06,-0.027608817715310832,-0.0368107632552195,1.333297341262303,0.0,0.04227669512010703,0.056367835216127475,1.333307512708547
31.200000000000003,1.513389120388507e-06,-0.02761089315834451,-0.03681418028034685,1.3333208769894842,0.0,0.035175132121240356,0.046791896744141366,1.3302550387831031
