preset,anchor,z,H_code,H_phys
vacuum_plus_matter,Planck_67p4,1.945569225593255,0.9854002485603003,273.37708259791214
vacuum_plus_matter,Planck_67p4,1.8921260209206823,0.9630036948072189,267.1636637011641
vacuum_plus_matter,Planck_67p4,1.8396524679204784,0.9410984139871732,261.0865374036811
vacuum_plus_matter,Planck_67p4,1.7881309736288329,0.9196738138215559,255.14276511657195
vacuum_plus_matter,Planck_67p4,1.7375442642814827,0.8987195277713285,249.32947087729943
vacuum_plus_matter,Planck_67p4,1.6878753795222878,0.878225410259514,243.64384002426868
vacuum_plus_matter,Planck_67p4,1.63910766671688,0.8581815319942256,238.08311789930679
vacuum_plus_matter,Planck_67p4,1.5912247753694873,0.8385781753901218,232.64460857744874
vacuum_plus_matter,Planck_67p4,1.5442106516410519,0.8194058300862191,227.32567362345583
vacuum_plus_matter,Planck_67p4,1.4980495329668146,0.8006551885580457,222.1237308745063
vacuum_plus_matter,Planck_67p4,1.4527259427715502,0.7823171418221477,217.03625324850773
vacuum_plus_matter,Planck_67p4,1.4082246852806937,0.7643827752310163,212.06076757749418
vacuum_plus_matter,Planck_67p4,1.3645308404256045,0.746843364356531,207.1948534655804
vacuum_plus_matter,Planck_67p4,1.3216297588412718,0.7296903709600651,202.43614217095853
vacuum_plus_matter,Planck_67p4,1.2795070569547797,0.7129154390474296,197.7823155114311
vacuum_plus_matter,Planck_67p4,1.2381486121628833,0.6965103910068757,193.2311047929869
vacuum_plus_matter,Planck_67p4,1.1975405580970806,0.680467223828409,188.78028976093503
vacuum_plus_matter,Planck_67p4,1.1576692799745953,0.6647781054027083,184.4276975731234
vacuum_plus_matter,Planck_67p4,1.1185214100337082,0.6494353708979775,180.17120179477783
vacuum_plus_matter,Planck_67p4,1.0800838230519068,0.6344315192130882,176.0087214145064
vacuum_plus_matter,Planck_67p4,1.042343631945354,0.6197592095054143,171.93821988102576
vacuum_plus_matter,Planck_67p4,1.0052881834481973,0.6054112577917852,167.95770416017183
