model,kappa_rms_diff,kappa_max_abs_diff,gamma_rms_diff,gamma_max_abs_diff,provenance_hash,input_hash,output_digest
CATS,0.05343110482159154,0.130400703295943,0.02666333504895673,0.03228508522076634,70b161b4386c9d5bff9e1c28211fc4dfd65731de6653c2b92c7ff76e0dfe6bcf,c8725d0c77dbd77a038c74166c67a40f57d873825d35fc0a9fddc2ca10f992c4,a89347ee5b11da6831abd460fc63d73d8e5cc8243f5cc14cd51a0e88fbb67ec6
GLAFIC,0.06486865905605502,0.11439943598072183,0.03426748118620247,0.048280737903449805,a7406b1caa8f831868803572b10d4e3d62c72ac931f3e906a980b223071b8ea1,28d8f3f2a1ea6fe7a864dc22af6f1cae8d738040d49925a0e873c87168284a19,892ca5d051902db7fa6e7377a121ff415c784e8463695dc8eff5bb32e46e6e5b
Sharon,0.058090133427926266,0.13265691991412681,0.028942934552409486,0.036268920806902624,afac2be93c725ac77e78560250de4608dc9a9ea06385230ac56bfa8764c9fe37,14e207a36105115fd139150cbba69dd4aeef91fc409b233614a6d5ac6a42b1cf,2b04e075088b5a14effa6d5359db21b9964f83f0e52cfa9b6a457f4a956cca19
