canon_hash,repro_hash,output_digest,rho_init_used,p_init_used,w_effective_init,start_z_used,a_init_used,genesis_mode,a_end,H_end,rho_end,rho_m_end,M_X_end,H_min,H_max,H_z0,H0_code,idx0,z0,status,failure_reason,H_floor_count,z_start,z_end,fs8_min,fs8_max,fs8_z0,fs8_masked_count,fs8_min_unmasked,fs8_max_unmasked,fs8_z0_unmasked,fs8_min_compare,fs8_max_compare,fs8_z0_compare,compare_point_count,compare_definition,D0_index,D0,sigma8_0,rho_m0_input,rho_m_init_used,param,value,run_index,rms_H_vs_baseline,rms_fs8_vs_baseline,rms_definition,rms_n_points
009290963f444870dc585f6308871330e50c78dd010ad8796e46ccef07aec55e,29e144f34da69d8ee6c9b13349aa77bc38f096a2ae6c52e437931fc6f8375df0,186bbd4ad7a19a5c8879a9679009c7105593817b644bb456b4c420cdd6d7025a,5.400000000000001,0.0,0.0,2.0,0.3333333333333333,steady_state,0.9999999999999759,0.34156502601993227,0.200000000000001,0.200000000000001,0.116666666999997,0.34156502601993227,2.1439385765817383,0.34156502601993227,0.34156502601993227,299,2.4202861936828413e-14,VIABLE,,0,1.9890339683968157,2.4202861936828413e-14,0.22758292140209382,1.0924861897449287,1.0924861897449287,0,0.22758292140209382,1.0924861897449287,1.0924861897449287,0.22758292140209382,1.0924861897449287,1.0924861897449287,300,"compare mask: z in [0, start_z] AND H > 10*H_floor AND fsigma8 not None",299,1.1910992065376205,0.811,0.2,5.400000000000001,alpha_mem,0.0,0,0.0,0.0,rms = sqrt(mean((x_i - x_i_baseline)^2)); fs8 uses aligned points where both baseline and run are unmasked and fsigma8 is not None,"{'H': 300, 'fs8': 300}"
9b8a611986f366489d6a3c316a887bfce3932a2962037ed33946d04b9eb57a8b,7c36f0739cd6a020ff841947c66ac1b505065592f5b16795689fd9b5582f8556,097c5eb73325706ddc08861687a6495dfa0ba00a24e2f15e1732d6a5ee15290e,5.400000000000001,0.0,0.0,2.0,0.3333333333333333,steady_state,0.9999999999999759,0.34156502601993227,0.200000000000001,0.200000000000001,0.116666666999997,0.34156502601993227,2.1439385765817383,0.34156502601993227,0.34156502601993227,299,2.4202861936828413e-14,VIABLE,,0,1.9890339683968157,2.4202861936828413e-14,0.22758292140209382,1.0924861897449287,1.0924861897449287,0,0.22758292140209382,1.0924861897449287,1.0924861897449287,0.22758292140209382,1.0924861897449287,1.0924861897449287,300,"compare mask: z in [0, start_z] AND H > 10*H_floor AND fsigma8 not None",299,1.1910992065376205,0.811,0.2,5.400000000000001,alpha_mem,0.333333333,1,3.107302493781599e-17,1.8960667787614548e-17,rms = sqrt(mean((x_i - x_i_baseline)^2)); fs8 uses aligned points where both baseline and run are unmasked and fsigma8 is not None,"{'H': 300, 'fs8': 300}"
bdb71ddc06c077cd4daf44730b38ae4d3d81d8101f0b53ba51100156c4b0372f,de25c0a6c816cd5501d1a23b519ffd026c2365225b185b0706bd9880cf97c2ce,186bbd4ad7a19a5c8879a9679009c7105593817b644bb456b4c420cdd6d7025a,5.400000000000001,0.0,0.0,2.0,0.3333333333333333,steady_state,0.9999999999999759,0.34156502601993227,0.200000000000001,0.200000000000001,0.116666666999997,0.34156502601993227,2.1439385765817383,0.34156502601993227,0.34156502601993227,299,2.4202861936828413e-14,VIABLE,,0,1.9890339683968157,2.4202861936828413e-14,0.22758292140209382,1.0924861897449287,1.0924861897449287,0,0.22758292140209382,1.0924861897449287,1.0924861897449287,0.22758292140209382,1.0924861897449287,1.0924861897449287,300,"compare mask: z in [0, start_z] AND H > 10*H_floor AND fsigma8 not None",299,1.1910992065376205,0.811,0.2,5.400000000000001,alpha_mem,1.0,2,0.0,0.0,rms = sqrt(mean((x_i - x_i_baseline)^2)); fs8 uses aligned points where both baseline and run are unmasked and fsigma8 is not None,"{'H': 300, 'fs8': 300}"
