z,Hz_km_s_Mpc,sigma_Hz,tracer,reference
0.07,69.0,19.6,CC,Moresco2016
0.10,69.0,12.0,CC,Moresco2012
0.17,83.0,8.0,CC,Moresco2012
0.27,77.0,14.0,CC,Moresco2012
0.40,95.0,17.0,CC,Moresco2012
0.48,97.0,62.0,CC,Stern2010
0.88,90.0,40.0,CC,Stern2010
1.43,177.0,18.0,BAO,DA2013
1.53,140.0,14.0,BAO,DA2013
2.34,222.0,7.0,BAO,Delubac2015
